CIE1,ASSIGN1,CIE2,ASSIGN2,CIE3,ASSIGN3,CIE4,ASSIGN4,CIE5,ASSIGN5,CGPA,SGPA,MathRate,CulturalRatings,SportRate,ResearchRatings
30,16,28,18,29,19,28,16,25,18,9.6,9.319935790985301,9,6,7,9
16,10,20,20,17,11,19,17,20,14,6.6,6.486805091672552,8,7,8,7
24,17,22,16,23,16,26,16,26,17,8.6,8.436592701244136,9,10,6,8
30,20,27,16,25,17,30,16,27,17,9.4,9.172855609363587,10,10,8,10
26,17,26,19,29,16,26,18,24,20,7.8,7.285365371582418,7,10,8,7
28,17,30,20,28,20,28,16,29,20,9.0,9.28625885537486,9,7,6,10
12,14,17,14,16,11,16,18,16,10,6.4,6.486861946898683,10,8,10,10
21,18,21,16,26,16,25,19,25,15,8.0,8.203182409409088,6,7,7,5
20,17,20,13,19,13,19,17,23,15,7.6,7.033627143902299,8,8,6,8
29,18,29,20,28,16,30,19,27,19,9.8,9.004541808911474,5,7,7,7
28,15,26,17,30,17,27,19,29,15,9.4,9.003902952729003,8,5,8,6
27,17,26,19,27,19,30,16,29,19,9.0,9.336032977668403,10,6,8,8
28,15,28,18,29,20,27,20,30,20,9.8,9.297685411287546,5,9,5,8
21,19,26,17,26,16,23,16,27,16,8.2,8.361001128449216,8,9,10,7
24,16,26,18,27,19,25,17,28,17,8.0,8.343761160280085,6,6,7,7
12,14,10,13,8,16,9,10,7,13,6.0,6.0419269335930705,9,5,7,8
26,20,25,16,23,19,23,15,28,16,9.0,9.080269725531931,6,6,5,7
25,19,30,20,28,19,25,18,26,18,9.4,9.408431424647535,9,9,9,6
27,17,24,20,28,17,27,20,26,20,8.8,8.143473929270856,5,5,6,7
25,15,27,18,28,16,26,20,30,15,7.4,7.188114828188654,8,10,9,7
14,18,13,14,12,13,9,12,9,16,6.2,6.222626983448102,8,8,10,5
24,20,21,20,18,14,23,17,27,19,8.2,8.195254350791055,5,5,8,9
20,10,17,18,15,13,16,18,17,12,6.2,6.1238176071620245,8,6,6,6
18,15,19,15,20,20,19,15,17,14,6.8,6.043020405156956,8,8,10,5
30,19,30,20,29,16,26,20,26,17,9.0,9.071717391773733,10,5,6,7
27,17,29,16,30,16,29,20,28,18,9.0,9.139816266819423,5,6,7,5
18,19,21,20,23,19,21,19,22,15,8.0,8.358560540295134,6,6,9,8
13,10,10,17,8,10,12,20,11,11,6.2,6.118224091444489,7,6,5,6
23,20,23,15,20,20,18,12,21,16,7.4,7.220557281545553,9,6,7,9
16,20,21,18,22,18,19,11,17,15,7.0,7.088726112776287,8,9,6,10
19,15,23,15,27,15,28,18,27,20,8.8,8.051168237932844,8,10,5,5
14,15,16,11,17,10,16,12,18,12,6.0,6.472056048092484,7,9,7,8
14,10,14,11,17,20,21,16,19,19,7.2,7.097302406915761,7,6,5,9
17,20,21,17,22,17,24,20,23,17,7.8,7.108476845055833,6,9,7,10
25,20,26,19,23,19,25,17,30,15,7.2,7.49176398568999,9,8,6,8
14,10,14,20,12,10,15,10,12,17,6.2,6.307541637425755,8,5,10,7
16,11,13,20,16,10,20,17,25,17,7.2,7.208517893661336,9,7,6,6
18,13,16,14,21,18,24,20,26,18,7.8,7.222408103752709,8,6,9,7
15,16,14,18,19,10,21,18,24,17,7.4,7.198067006962069,5,7,5,7
28,19,26,17,23,15,25,20,30,18,8.6,8.187010978236849,7,7,8,10
12,15,9,11,12,20,15,15,16,10,6.2,6.321104157595622,8,10,9,7
22,16,26,19,30,20,27,19,29,15,8.6,8.150484141026523,6,10,6,6
30,16,27,18,30,20,30,15,27,16,8.2,8.255086434667117,7,8,5,7
26,20,24,15,27,16,24,15,21,16,8.6,8.32736442415263,8,10,6,8
26,16,27,18,25,15,23,16,25,20,7.0,7.015056424580977,10,5,6,6
27,16,28,16,30,17,30,19,28,20,9.6,9.383583276128793,6,10,6,6
28,18,26,19,28,20,27,20,28,18,9.2,9.460516999658418,10,6,8,9
12,15,14,10,15,15,13,11,17,17,6.2,6.348808997322132,10,5,7,7
14,15,12,16,16,16,16,16,19,17,6.8,6.028556899650286,9,7,9,7
20,14,25,15,29,17,27,17,30,18,8.4,8.467669440516483,7,6,7,10
27,20,28,19,27,15,30,20,27,18,9.0,9.34595364022456,7,10,10,6
29,20,28,20,25,19,26,19,25,17,8.8,8.303149609546866,5,5,6,6
24,17,27,16,25,16,22,18,27,19,8.6,8.128994703786102,6,6,7,10
25,15,26,15,23,18,24,16,23,18,7.8,7.352569359445988,8,5,10,7
21,16,25,17,29,15,29,17,28,20,9.2,9.237934438705086,7,9,9,7
15,20,12,12,14,20,18,20,23,16,7.0,7.445419793836303,9,9,7,10
